brand,year,fuel_type,transmission,engine_size,mileage,doors,owner_count,price
Toyota,2013,Electric,Manual,1.7,161287,4,3,26835
Ford,2016,Petrol,Manual,1.8,191376,2,2,22031
BMW,2018,Petrol,Automatic,1.7,16879,4,4,41556
Toyota,2020,Petrol,Automatic,2.9,189145,5,1,31842
Toyota,2007,Electric,Automatic,3.2,39583,5,1,34920
Hyundai,2012,Petrol,Automatic,1.7,152880,2,1,23256
Ford,2009,Diesel,Automatic,2.6,86807,4,2,23859
Honda,2014,Electric,Automatic,2.8,34120,4,3,38394
BMW,2020,Electric,Manual,4.2,63485,2,2,55225
Ford,2019,Electric,Manual,2.3,86878,5,3,37756
Honda,2018,Diesel,Automatic,2.3,36486,2,1,36275
Toyota,2011,Diesel,Automatic,1.9,139491,5,2,21825
Toyota,2010,Petrol,Manual,3.1,69129,5,1,26243
Ford,2011,Petrol,Automatic,1.4,180029,4,4,15798
Hyundai,2019,Diesel,Automatic,3.1,174378,2,1,31981
Ford,2020,Petrol,Automatic,1.6,47054,5,3,33347
Hyundai,2009,Diesel,Automatic,3.4,33708,4,2,28114
Toyota,2014,Petrol,Manual,3.3,195483,4,3,21325
BMW,2006,Petrol,Automatic,1.1,130945,2,2,25652
Hyundai,2021,Electric,Manual,3.6,93486,4,3,42025
Hyundai,2015,Diesel,Automatic,3.9,43183,4,3,33140
Audi,2017,Petrol,Automatic,2.7,115711,5,1,42114
Ford,2023,Electric,Manual,2.1,74337,5,2,43483
Honda,2020,Petrol,Manual,2.5,109178,5,4,28541
Ford,2016,Diesel,Manual,2.2,165717,4,1,25614
Honda,2014,Electric,Automatic,3.4,43494,5,4,37625
Honda,2015,Petrol,Automatic,4.0,25007,5,3,34249
Ford,2022,Diesel,Automatic,2.5,198161,4,2,31091
Hyundai,2012,Electric,Manual,2.3,15517,4,2,35824
Honda,2022,Electric,Manual,3.8,79550,2,1,47122
Honda,2013,Electric,Automatic,1.7,62243,5,2,35287
Toyota,2018,Petrol,Manual,4.1,168153,4,2,29792
Toyota,2014,Diesel,Automatic,3.6,50483,2,4,29675
